prompt_id,prompt,case,num_timesteps,cfg_interval,cfg_text_scale,seed,elapsed_s,image,clip_score,clip_delta_vs_prompt_baseline,lpips_to_prompt_baseline,speedup_vs_baseline,factor_count,relation_count,style_count,fantasy_flag,semantic_coverage,relation_coverage,style_coverage,policy,policy_case,speedup_vs_prompt_baseline,peak_mem_gb,pareto_prompt_clip_latency
fairy_cosplayer,"A female cosplayer portraying an ethereal fairy or elf, wearing a flowing dress made of delicate fabrics in emerald green and silver, in a magical forest with glowing plants, mystical creatures, serene atmosphere, ultra detailed.",uqp_sched18,18,0.3,4.0,42,41.3057,/root/autodl-tmp/outputs/idea6_repo_rerun/results/fairy_cosplayer/uqp_sched18.png,0.372061,0.012621,0.456308,3.4859,6,2,1,1,0.2586360275745392,0.2610330134630203,0.2574375346302986,uqp_oracle,uqp_sched18,,,
cyberpunk_alley,"A cinematic cyberpunk alley at night, neon reflections on wet pavement, layered signage, dense atmosphere, a lone figure in a reflective raincoat, ultra detailed, dramatic composition.",uqp_sched16,16,0.26,4.0,42,35.6053,/root/autodl-tmp/outputs/idea6_repo_rerun/results/cyberpunk_alley/uqp_sched16.png,0.383727,-0.000142,0.657579,3.668,7,5,1,0,0.27613240267549244,0.29116936326026915,0.23087374866008759,uqp_oracle,uqp_sched16,,,
snow_cabin,"A cozy wooden cabin in a snowy pine forest at blue hour, warm interior lights glowing through the windows, soft snowfall, realistic lighting, detailed landscape photography.",uqp_sched18,18,0.3,4.0,42,37.3136,/root/autodl-tmp/outputs/idea6_repo_rerun/results/snow_cabin/uqp_sched18.png,0.36176,-0.009703,0.66132,3.5216,5,2,1,0,0.2770763963460922,0.29488425701856613,0.2593171149492264,uqp_oracle,uqp_sched18,,,
product_camera,"A premium studio product photo of a vintage silver camera on dark stone, soft rim light, sharp reflections, luxury advertising style, highly detailed.",fast_15_cfg02,15,0.2,4.0,45,106.1515,/root/autodl-tmp/outputs/unipath_multi/product_camera/fast_15_cfg02.png,0.31363093852996826,0.00024,0.23259277641773224,1.2415,5,3,0,0,0.23865137696266175,0.2498990794022878,,uqp_oracle,fast_15_cfg02,1.2415,0.0,1
corgi_ocean,"A joyful corgi surfing a translucent ocean wave at sunrise, dynamic splash, golden light, crisp fur detail, cinematic action photography.",uqp_sched16,16,0.26,4.0,42,35.3654,/root/autodl-tmp/outputs/idea6_repo_rerun/results/corgi_ocean/uqp_sched16.png,0.399039,0.007399,0.688138,3.7108,5,2,0,0,0.26323665380477906,0.31092362105846405,,uqp_oracle,uqp_sched16,,,
