case,num_items,mean_elapsed_s,mean_speedup_vs_baseline,mean_accuracy,mean_clip_score,mean_semantic_coverage,mean_relation_coverage,mean_style_coverage,mean_lpips_to_baseline
baseline_50_cfg04,5,133.804,1.0,,0.36396,0.258746,0.278195,0.244017,0.0
fast_15_cfg02,5,106.7196,1.2541,,0.359508,0.258993,0.279284,0.242138,0.403115
fast_20_cfg04,5,113.0383,1.1854,,0.361522,0.2595,0.28013,0.243987,0.352111
flashu_cache15,5,97.7283,1.3691,,0.192062,0.196243,0.189582,0.20955,0.905144
uqp_sched16,5,107.8005,1.2412,,0.357861,0.259888,0.278757,0.243998,0.651996
uqp_sched18,5,109.1791,1.2258,,0.35711,0.257655,0.276255,0.245183,0.57402
